rate_change_j2j,rate_change_estabs,nval
-.025742359,-.029985249,6
-.025688268,-.030281939,6
-.02913164,-.023383804,6
-.030904673,-.01992926,6
-.02544247,-.032103524,6
-.028224427,-.032435678,6
-.015800022,-.022749864,1
-.032719597,-.053178981,4
-.038539417,-.053282879,4
-.034095466,-.050379813,4
-.037659034,-.068109877,4
-.023601476,-.040698066,4
-.01073581,-.031824395,4
-.015742194,-.030847646,4
-.020705499,-.028839417,4
-.020368695,-.024337657,23
-.032218084,-.051870659,23
-.024366502,-.034527041,23
-.023073886,-.032605402,23
-.026997631,-.034640521,23
-.021290109,-.035657793,23
-.02207016,-.031863727,23
-.022585701,-.039217152,23
-.015396722,-.036008313,23
-.024324885,-.04207807,23
-.023369737,-.03449028,23
-.022116261,-.03156662,23
-.017851299,-.026109479,23
-.021340944,-.039214134,23
-.02620896,-.036149427,23
-.022356886,-.03050705,23
-.020058358,-.026772156,23
-.027866039,-.048478536,23
-.026791584,-.029088594,23
-.023441531,-.035417892,23
-.024141137,-.03606531,23
-.025508367,-.03446871,23
-.019974213,-.032204211,23
-.017937995,-.032917589,2
-.020450711,-.031675749,2
-.016724899,-.024539612,1
-.017063439,-.025313184,1
-.018284362,-.02578523,1
-.031837586,-.052909657,14
-.028005499,-.035721064,14
-.035012521,-.044195145,14
-.046910603,-.040117659,14
-.0361403,-.046773411,14
-.037854873,-.052492656,14
-.030202154,-.042222954,14
-.034868501,-.049043514,14
-.027320337,-.041871704,14
-.023021299,-.025597438,14
-.033423785,-.033605233,14
-.034134742,-.038255699,14
-.024750456,-.037375122,14
-.040460669,-.049680278,14
-.031185403,-.035906583,11
-.027397148,-.036828749,11
-.023602132,-.033753425,11
-.025409393,-.015253887,11
-.023647115,-.020194642,11
-.021639124,-.025516286,11
-.031835921,-.039516062,11
-.027704895,-.015230224,11
-.018775333,-.032458864,11
-.028758459,-.030613013,11
-.01438411,-.029226378,11
-.018002722,-.022290371,1
-.033248823,-.039408095,4
-.035664819,-.072472222,4
-.0380482,-.033281013,4
-.034173984,-.07415808,4
