unwtd_level,wtd_level
-.021290112,-.021087719
-.021386828,-.021254135
-.019138174,-.017384917
-.018012062,-.015447237
-.021980628,-.022275876
-.022088904,-.022462184
-.018931521,-.017029336
-.028850805,-.034097262
-.028884673,-.03415554
-.027938332,-.03252719
-.033717979,-.04247212
-.024782278,-.027096622
-.021889638,-.02211931
-.021571238,-.021571444
-.020916594,-.020445013
-.019449111,-.017919941
-.028424319,-.033363417
-.022770647,-.023635246
-.02214423,-.022557383
-.022807639,-.023698896
-.02313925,-.024269493
-.021902459,-.022141371
-.024299528,-.026265966
-.023253512,-.024466103
-.025232131,-.027870676
-.022758663,-.023614626
-.021805609,-.021974722
-.020026689,-.01891377
-.024298545,-.026264273
-.023299512,-.024545254
-.021460209,-.021380402
-.020242708,-.01928547
-.027318554,-.031460747
-.02099782,-.020584779
-.023061046,-.02413493
-.023272092,-.024498073
-.022751631,-.023602527
-.02201345,-.022332352
-.022245998,-.022732491
-.021841181,-.022035934
-.019514944,-.01803322
-.019767113,-.018467121
-.01992099,-.018731896
-.028763011,-.033946197
-.023159873,-.024304982
-.025922256,-.02905816
-.024593076,-.026771067
-.026762718,-.030504329
-.028627077,-.033712298
-.02527936,-.027951943
-.027502727,-.031777646
-.025164859,-.027754923
-.019859774,-.018626561
-.022470156,-.023118196
-.023986114,-.025726678
-.023699064,-.025232757
-.027710298,-.032134812
-.023220349,-.024409041
-.023520958,-.024926292
-.022518463,-.023201318
-.016487982,-.012824783
-.01809857,-.015596092
-.019833321,-.018581044
-.024396967,-.026433626
-.016480269,-.012811511
-.022096463,-.022475189
-.021494752,-.021439837
-.021042736,-.020662062
-.018781736,-.016771602
-.024361772,-.026373066
-.035140015,-.044918992
-.022364466,-.022936339
-.035689574,-.045864604
-.021153152,-.020852052
-.020360697,-.019488491
-.018793212,-.016791349
-.023953119,-.025669906
-.021702953,-.021798085
-.0077201771,.0022618184
-.018380756,-.016081642
-.019692117,-.018338079
-.02377384,-.025361422
-.019111624,-.017339235
-.023516491,-.024918607
-.022259323,-.022755422
-.020627096,-.019946879
-.020931004,-.020469807
-.021137714,-.02082549
-.02653927,-.030119846
-.023442134,-.024790663
-.017856609,-.015179754
-.020944132,-.020492395
-.022962356,-.023965117
-.021143274,-.020835055
-.027706539,-.032128345
-.021410221,-.021294387
-.022832481,-.023741646
-.021357812,-.021204207
-.018079828,-.015563841
-.017144592,-.013954599
-.019244973,-.017568683
-.023472859,-.024843529
-.01619643,-.012323113
-.023236781,-.024437318
-.020627568,-.019947689
-.02342839,-.024767013
-.022960333,-.023961637
-.023346556,-.024626203
-.02840363,-.033327818
-.021897152,-.02213224
-.023571931,-.025014002
-.018313471,-.015965866
-.019751685,-.018440576
-.01699776,-.013701949
-.019379925,-.017800895
-.018305106,-.015951475
-.019546496,-.01808751
-.020354904,-.019478524
-.022130482,-.022533726
-.017961379,-.015360028
-.023449643,-.024803581
-.023828819,-.025456024
-.026135307,-.029424755
-.024133127,-.025979644
-.018794237,-.016793111
-.025107009,-.027655382
-.027321355,-.031465568
-.018699523,-.016630139
-.018386586,-.016091673
-.027360428,-.031532798
-.020723809,-.020113289
-.023961948,-.025685096
-.018111274,-.015617948
-.023466716,-.02483296
-.021466134,-.021390595
-.021421392,-.021313608
-.018563446,-.016395994
-.018907307,-.01698767
-.017291712,-.014207744
-.017758166,-.015010362
-.016133575,-.012214958
-.023038387,-.024095943
-.024451541,-.02652753
-.023322199,-.024584292
-.019637765,-.018244555
-.02408855,-.02590294
-.025090629,-.027627198
-.027800754,-.032290459
-.0219626,-.022244854
-.022064086,-.022419482
-.018564666,-.016398095
-.023328112,-.024594467
-.019056929,-.017245119
-.018924566,-.017017366
-.017021043,-.013742009
-.020488327,-.019708101
-.020794651,-.020235185
-.016383899,-.012645688
-.019210204,-.017508861
-.018949945,-.017061034
-.020805895,-.020254534
-.019702377,-.018355731
-.019085377,-.017294072
-.035594031,-.045700207
-.027354531,-.031522654
-.024979921,-.027436703
-.025307404,-.028000198
-.019762192,-.018458655
-.022641096,-.023412332
-.023335505,-.024607189
-.018512594,-.016308492
-.017702656,-.01491485
-.019249694,-.017576808
-.020789541,-.020226397
-.017844506,-.015158925
-.023174284,-.024329776
-.027067231,-.031028299
-.020995222,-.020580307
-.021350037,-.02119083
-.020203331,-.019217715
-.022839496,-.023753714
-.022368513,-.022943301
-.021961629,-.022243187
-.019009387,-.017163316
-.021341333,-.021175852
-.016011791,-.01200541
-.017212382,-.014071242
-.020463465,-.019665319
-.019708548,-.01836635
-.022370817,-.022947267
-.016882859,-.013504241
-.019600164,-.018179854
-.020243259,-.019286418
-.014841324,-.0099914074
-.015875515,-.011770922
-.021868758,-.022083383
-.014167304,-.0088316351
-.019067395,-.017263129
-.020630373,-.019952515
-.019720642,-.018387159
-.024517022,-.026640203
-.041356176,-.055615023
-.027720893,-.032153044
-.031696994,-.038994644
-.022351259,-.022913612
-.023778265,-.025369037
-.021290079,-.02108766
-.023798482,-.025403824
-.018629547,-.016509732
-.021996882,-.022303842
-.025318259,-.028018875
-.028796574,-.034003947
-.020545583,-.01980662
-.02117043,-.020881781
-.025324574,-.028029742
-.029965334,-.036015011
-.026868336,-.030686066
-.027780432,-.032255493
-.023163006,-.024310373
-.018211577,-.015790541
-.018487303,-.016264975
-.016072294,-.012109515
-.021231769,-.020987328
-.01894246,-.017048158
-.019338481,-.017729582
-.024697449,-.026950659
-.020476757,-.019688193
-.021117963,-.020791505
-.019613434,-.018202689
-.016352663,-.012591941
