geography,label,geo_level
01999,"Not in metropolitan area, AL",B
02999,"Not in metropolitan area, AK",B
04999,"Not in metropolitan area, AZ",B
05999,"Not in metropolitan area, AR",B
06999,"Not in metropolitan area, CA",B
08999,"Not in metropolitan area, CO",B
09999,"Not in metropolitan area, CT",B
10180,"Abilene, TX",B
10380,"Aguadilla-Isabela, PR",B
10420,"Akron, OH",B
10500,"Albany, GA",B
10540,"Albany, OR",B
10580,"Albany-Schenectady-Troy, NY",B
10740,"Albuquerque, NM",B
10780,"Alexandria, LA",B
10900,"Allentown-Bethlehem-Easton, PA-NJ",B
10999,"Not in metropolitan area, DE",B
11020,"Altoona, PA",B
11100,"Amarillo, TX",B
11180,"Ames, IA",B
11260,"Anchorage, AK",B
11460,"Ann Arbor, MI",B
11500,"Anniston-Oxford-Jacksonville, AL",B
11540,"Appleton, WI",B
11640,"Arecibo, PR",B
11700,"Asheville, NC",B
11999,"Not in metropolitan area, DC",B
12020,"Athens-Clarke County, GA",B
12060,"Atlanta-Sandy Springs-Roswell, GA",B
12100,"Atlantic City-Hammonton, NJ",B
12220,"Auburn-Opelika, AL",B
12260,"Augusta-Richmond County, GA-SC",B
12420,"Austin-Round Rock, TX",B
12540,"Bakersfield, CA",B
12580,"Baltimore-Columbia-Towson, MD",B
12620,"Bangor, ME",B
12700,"Barnstable Town, MA",B
12940,"Baton Rouge, LA",B
12980,"Battle Creek, MI",B
12999,"Not in metropolitan area, FL",B
13020,"Bay City, MI",B
13140,"Beaumont-Port Arthur, TX",B
13220,"Beckley, WV",B
13380,"Bellingham, WA",B
13460,"Bend-Redmond, OR",B
13740,"Billings, MT",B
13780,"Binghamton, NY",B
13820,"Birmingham-Hoover, AL",B
13900,"Bismarck, ND",B
13980,"Blacksburg-Christiansburg-Radford, VA",B
13999,"Not in metropolitan area, GA",B
14010,"Bloomington, IL",B
14020,"Bloomington, IN",B
14100,"Bloomsburg-Berwick, PA",B
14260,"Boise City, ID",B
14460,"Boston-Cambridge-Newton, MA-NH",B
14500,"Boulder, CO",B
14540,"Bowling Green, KY",B
14740,"Bremerton-Silverdale, WA",B
14860,"Bridgeport-Stamford-Norwalk, CT",B
15180,"Brownsville-Harlingen, TX",B
15260,"Brunswick, GA",B
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",B
15500,"Burlington, NC",B
15540,"Burlington-South Burlington, VT",B
15680,"California-Lexington Park, MD",B
15940,"Canton-Massillon, OH",B
15980,"Cape Coral-Fort Myers, FL",B
15999,"Not in metropolitan area, HI",B
16020,"Cape Girardeau, MO-IL",B
16060,"Carbondale-Marion, IL",B
16180,"Carson City, NV",B
16220,"Casper, WY",B
16300,"Cedar Rapids, IA",B
16540,"Chambersburg-Waynesboro, PA",B
16580,"Champaign-Urbana, IL",B
16620,"Charleston, WV",B
16700,"Charleston-North Charleston, SC",B
16740,"Charlotte-Concord-Gastonia, NC-SC",B
16820,"Charlottesville, VA",B
16860,"Chattanooga, TN-GA",B
16940,"Cheyenne, WY",B
16980,"Chicago-Naperville-Elgin, IL-IN-WI",B
16999,"Not in metropolitan area, ID",B
17020,"Chico, CA",B
17140,"Cincinnati, OH-KY-IN",B
17300,"Clarksville, TN-KY",B
17420,"Cleveland, TN",B
17460,"Cleveland-Elyria, OH",B
17660,"Coeur d'Alene, ID",B
17780,"College Station-Bryan, TX",B
17820,"Colorado Springs, CO",B
17860,"Columbia, MO",B
17900,"Columbia, SC",B
17980,"Columbus, GA-AL",B
17999,"Not in metropolitan area, IL",B
18020,"Columbus, IN",B
18140,"Columbus, OH",B
18580,"Corpus Christi, TX",B
18700,"Corvallis, OR",B
18880,"Crestview-Fort Walton Beach-Destin, FL",B
18999,"Not in metropolitan area, IN",B
19060,"Cumberland, MD-WV",B
19100,"Dallas-Fort Worth-Arlington, TX",B
19140,"Dalton, GA",B
19180,"Danville, IL",B
19300,"Daphne-Fairhope-Foley, AL",B
19340,"Davenport-Moline-Rock Island, IA-IL",B
19380,"Dayton, OH",B
19460,"Decatur, AL",B
19500,"Decatur, IL",B
19660,"Deltona-Daytona Beach-Ormond Beach, FL",B
19740,"Denver-Aurora-Lakewood, CO",B
19780,"Des Moines-West Des Moines, IA",B
19820,"Detroit-Warren-Dearborn, MI",B
